"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"1466","TREASURE AT TAMPINES","53 Tampines Lane  #11-186",1,96,"Strata",1384000,"-",14417,1339,"16-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528459","East Region","Tampines","Singapore","Singapore"
"1467","JADESCAPE","10 Shunfu Road  #03-37",1,153,"Strata",2779200,"-",18165,1688,"16-AUG-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","Private","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"1468","JADESCAPE","4 Shunfu Road  #20-13",1,49,"Strata",949000,"-",19367,1799,"16-AUG-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"1469","LEEDON GREEN","34 Leedon Heights  #05-41",1,65,"Strata",1750000,"-",26923,2501,"16-AUG-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","10","26","266076","Central Region","Bukit Timah","Singapore","Singapore"
"1470","THE JOVELL","19 Flora Drive  #07-30",1,118,"Strata",1544500,"-",13089,1216,"16-AUG-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","N.A","17","50","506760","East Region","Pasir Ris","Singapore","Singapore"
"1471","THE TAPESTRY","61 Tampines Street 86  #15-41",1,69,"Strata",1005320,"-",14570,1354,"16-AUG-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528510","East Region","Tampines","Singapore","Singapore"
"1472","JADESCAPE","10 Shunfu Road  #09-37",1,153,"Strata",2835400,"-",18532,1722,"16-AUG-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"1473","THE GAZANIA","11 How Sun Drive  #04-23",1,122,"Strata",2469000,"-",20238,1880,"16-AUG-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","19","53","538536","North East Region","Serangoon","Singapore","Singapore"
"1474","THE GAZANIA","9 How Sun Drive  #05-15",1,121,"Strata",2605000,"-",21529,2000,"16-AUG-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","19","53","538533","North East Region","Serangoon","Singapore","Singapore"
"1475","THE TRE VER","68 Potong Pasir Avenue 1  #17-37",1,46,"Strata",860000,"-",18696,1737,"16-AUG-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358395","Central Region","Toa Payoh","Singapore","Singapore"
"1476","PIERMONT GRAND","24 Sumang Walk  #09-05",1,127,"Strata",1480900,"-",11661,1083,"16-AUG-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","N.A","19","82","828678","North East Region","Punggol","Singapore","Singapore"
"1477","TREASURE AT TAMPINES","43 Tampines Lane  #04-142",1,115,"Strata",1557000,"-",13539,1258,"16-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528464","East Region","Tampines","Singapore","Singapore"
"1478","TREASURE AT TAMPINES","45 Tampines Lane  #09-154",1,115,"Strata",1641000,"-",14270,1326,"16-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528463","East Region","Tampines","Singapore","Singapore"
"1479","TREASURE AT TAMPINES","53 Tampines Lane  #08-184",1,63,"Strata",925000,"-",14683,1364,"16-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528459","East Region","Tampines","Singapore","Singapore"
"1480","TREASURE AT TAMPINES","53 Tampines Lane  #10-184",1,63,"Strata",935000,"-",14841,1379,"16-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528459","East Region","Tampines","Singapore","Singapore"
"1481","TREASURE AT TAMPINES","13 Tampines Lane  #02-54",1,63,"Strata",901000,"-",14302,1329,"16-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528479","East Region","Tampines","Singapore","Singapore"
"1482","PARC CANBERRA","11 Canberra Walk  #06-24",1,93,"Strata",1115000,"-",11989,1114,"16-AUG-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756946","North Region","Sembawang","Singapore","Singapore"
"1483","DAINTREE RESIDENCE","11B Toh Tuck Road  #01-08",1,66,"Strata",1189660,"-",18025,1675,"15-AUG-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596158","Central Region","Bukit Timah","Singapore","Singapore"
"1484","TREASURE AT TAMPINES","13 Tampines Lane  #03-54",1,63,"Strata",907000,"-",14397,1337,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528479","East Region","Tampines","Singapore","Singapore"
"1485","TREASURE AT TAMPINES","13 Tampines Lane  #12-54",1,63,"Strata",955000,"-",15159,1408,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528479","East Region","Tampines","Singapore","Singapore"
"1486","TREASURE AT TAMPINES","43 Tampines Lane  #02-142",1,115,"Strata",1543000,"-",13417,1247,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528464","East Region","Tampines","Singapore","Singapore"
"1487","TREASURE AT TAMPINES","11 Tampines Lane  #02-42",1,63,"Strata",891000,"-",14143,1314,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528480","East Region","Tampines","Singapore","Singapore"
"1488","TREASURE AT TAMPINES","45 Tampines Lane  #10-154",1,115,"Strata",1648000,"-",14330,1331,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528463","East Region","Tampines","Singapore","Singapore"
"1489","TREASURE AT TAMPINES","53 Tampines Lane  #05-183",1,85,"Strata",1179000,"-",13871,1289,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528459","East Region","Tampines","Singapore","Singapore"
"1490","TREASURE AT TAMPINES","53 Tampines Lane  #10-186",1,96,"Strata",1376000,"-",14333,1332,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528459","East Region","Tampines","Singapore","Singapore"
"1491","TREASURE AT TAMPINES","17 Tampines Lane  #08-62",1,63,"Strata",985000,"-",15635,1453,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528477","East Region","Tampines","Singapore","Singapore"
"1492","TREASURE AT TAMPINES","27 Tampines Lane  #09-90",1,63,"Strata",984000,"-",15619,1451,"15-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528472","East Region","Tampines","Singapore","Singapore"
"1493","THE MINTON","8A Hougang Street 11  #11-25",1,91,"Strata",990000,"-",10879,1011,"14-AUG-2020","Condominium","99 Yrs From 27/07/2007","2013","Resale","HDB","19","53","534081","North East Region","Hougang","Singapore","Singapore"
"1494","SIGNATURE PARK","52A Toh Tuck Road  #07-06",1,98,"Strata",1350000,"-",13776,1280,"14-AUG-2020","Condominium","Freehold","1998","Resale","Private","21","59","596744","Central Region","Bukit Timah","Singapore","Singapore"
"1495","YEW MEI GREEN","50 Choa Chu Kang North 6  #14-11",1,105,"Strata",8e+05,"-",7619,708,"14-AUG-2020","Executive Condominium","99 Yrs From 01/12/1997","2000","Resale","HDB","23","68","689574","West Region","Choa Chu Kang","Singapore","Singapore"
"1496","THE SENSORIA","1 Jalan Ulu Sembawang  #01-01",1,137,"Strata",1180000,"-",8613,800,"14-AUG-2020","Condominium","Freehold","2007","Resale","Private","27","75","758930","North Region","Sembawang","Singapore","Singapore"
"1497","DAINTREE RESIDENCE","11F Toh Tuck Road  #04-27",1,72,"Strata",1287340,"-",17880,1661,"14-AUG-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596128","Central Region","Bukit Timah","Singapore","Singapore"
"1498","MI CASA","313 Choa Chu Kang Avenue 3  #05-08",1,120,"Strata",1200000,"-",10000,929,"14-AUG-2020","Condominium","99 Yrs From 25/08/2008","2012","Resale","HDB","23","68","689860","West Region","Choa Chu Kang","Singapore","Singapore"
"1499","H2O RESIDENCES","36 Fernvale Link  #14-19",1,82,"Strata",868000,"-",10585,983,"14-AUG-2020","Condominium","99 Yrs From 10/05/2010","2015","Resale","HDB","28","79","797533","North East Region","Sengkang","Singapore","Singapore"
"1500","SANDY PALM","163A Jalan Loyang Besar  #03-06",1,116,"Strata",860000,"-",7414,689,"14-AUG-2020","Condominium","99 Yrs From 21/03/1996","2002","Resale","Private","17","50","509414","East Region","Pasir Ris","Singapore","Singapore"
"1501","LEEDON GREEN","32 Leedon Heights  #02-31",1,50,"Strata",1370000,"-",27400,2546,"14-AUG-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","10","26","266075","Central Region","Bukit Timah","Singapore","Singapore"
"1502","THE BAYSHORE","30 Bayshore Road  #25-02",1,94,"Strata",1055000,"-",11223,1043,"14-AUG-2020","Condominium","99 Yrs From 31/05/1993","1997","Resale","Private","16","46","469974","East Region","Bedok","Singapore","Singapore"
"1503","QUEENS","12 Stirling Road  #08-08",1,131,"Strata",1800000,"-",13740,1277,"14-AUG-2020","Condominium","99 Yrs From 16/02/1998","2002","Resale","HDB","03","14","148955","Central Region","Queenstown","Singapore","Singapore"
"1504","THE TANAMERA","3 Tanah Merah Kechil Road  #16-06",1,141,"Strata",1360000,"-",9645,896,"14-AUG-2020","Condominium","99 Yrs From 01/06/1990","1994","Resale","HDB","16","46","466664","East Region","Bedok","Singapore","Singapore"
"1505","ONE AMBER","7 Amber Gardens  #12-15",1,117,"Strata",2050000,"-",17521,1628,"14-AUG-2020","Condominium","Freehold","2010","Resale","Private","15","43","439974","Central Region","Marine Parade","Singapore","Singapore"
"1506","ESPARINA RESIDENCES","123 Compassvale Bow  #06-25",1,99,"Strata",1140000,"-",11515,1070,"14-AUG-2020","Executive Condominium","99 Yrs From 02/06/2010","2013","Resale","HDB","19","54","544819","North East Region","Sengkang","Singapore","Singapore"
"1507","THE BAYSHORE","30 Bayshore Road  #26-04",1,133,"Strata",1620000,"-",12180,1132,"14-AUG-2020","Condominium","99 Yrs From 31/05/1993","1997","Resale","HDB","16","46","469974","East Region","Bedok","Singapore","Singapore"
"1508","COSTA DEL SOL","72 Bayshore Road  #27-13",1,163,"Strata",2425000,"-",14877,1382,"14-AUG-2020","Condominium","99 Yrs From 05/05/1997","2004","Resale","Private","16","46","469988","East Region","Bedok","Singapore","Singapore"
"1509","WATERFRONT WAVES","762 Bedok Reservoir Road  #02-18",1,120,"Strata",1350000,"-",11250,1045,"14-AUG-2020","Condominium","99 Yrs From 31/10/2007","2011","Resale","Private","16","47","479246","East Region","Bedok","Singapore","Singapore"
"1510","THE SEAFRONT ON MEYER","59 Meyer Road  #18-13",1,213,"Strata",4350000,"-",20423,1897,"14-AUG-2020","Condominium","Freehold","2010","Resale","Private","15","43","437880","Central Region","Marine Parade","Singapore","Singapore"
"1511","PARC EMILY","7 Mount Emily Road  #07-14",1,51,"Strata",1042500,"-",20441,1899,"14-AUG-2020","Condominium","Freehold","2008","Resale","Private","09","22","228491","Central Region","Rochor","Singapore","Singapore"
"1512","SIMS URBAN OASIS","2 Sims Drive  #13-04",1,41,"Strata",730000,"-",17805,1654,"14-AUG-2020","Condominium","99 Yrs From 29/07/2014","2017","Resale","HDB","14","38","387386","Central Region","Geylang","Singapore","Singapore"
"1513","SUNHAVEN","781 Upper Changi Road East  #07-01",1,117,"Strata",1260000,"-",10769,1000,"14-AUG-2020","Condominium","Freehold","2002","Resale","Private","16","48","486069","East Region","Tampines","Singapore","Singapore"
"1514","THE MEYERISE","93 Meyer Road  #09-04",1,121,"Strata",2570000,"-",21240,1973,"14-AUG-2020","Condominium","Freehold","2014","Resale","Private","15","43","437986","Central Region","Marine Parade","Singapore","Singapore"
"1515","MARYMOUNT VIEW","11 Pemimpin Drive  #07-01",1,163,"Strata",2200000,"-",13497,1254,"14-AUG-2020","Condominium","Freehold","1992","Resale","Private","20","57","576148","Central Region","Bishan","Singapore","Singapore"
"1516","THE NEXUS","957 Bukit Timah Road  #07-17",1,138,"Strata",2540000,"-",18406,1710,"14-AUG-2020","Condominium","Freehold","2006","Resale","HDB","21","58","589653","Central Region","Bukit Timah","Singapore","Singapore"
"1517","THE QUARTZ","61 Compassvale Bow  #11-23",1,111,"Strata",1145000,"-",10315,958,"14-AUG-2020","Condominium","99 Yrs From 18/04/2005","2009","Resale","HDB","19","54","544989","North East Region","Sengkang","Singapore","Singapore"
"1518","THE RIVERVALE","1 Rivervale Link  #03-08",1,116,"Strata",815000,"-",7026,653,"14-AUG-2020","Executive Condominium","99 Yrs From 18/12/1997","2000","Resale","HDB","19","54","545118","North East Region","Sengkang","Singapore","Singapore"
"1519","DAINTREE RESIDENCE","11E Toh Tuck Road  #01-23",1,104,"Strata",1799690,"-",17305,1608,"14-AUG-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596127","Central Region","Bukit Timah","Singapore","Singapore"
"1520","PEBBLE BAY","136 Tanjong Rhu Road  #03-01",1,257,"Strata",4570000,"-",17782,1652,"14-AUG-2020","Condominium","99 Yrs From 09/03/1994","1997","Resale","Private","15","43","436921","Central Region","Kallang","Singapore","Singapore"
"1521","SIGNATURE PARK","48A Toh Tuck Road  #01-08",1,95,"Strata",1230000,"-",12947,1203,"14-AUG-2020","Condominium","Freehold","1998","Resale","Private","21","59","596740","Central Region","Bukit Timah","Singapore","Singapore"
"1522","THE RAINFOREST","335 Choa Chu Kang Avenue 3  #09-10",1,106,"Strata",1135000,"-",10708,995,"14-AUG-2020","Executive Condominium","99 Yrs From 28/06/2011","2015","Resale","HDB","23","68","689871","West Region","Choa Chu Kang","Singapore","Singapore"
"1523","COMMONWEALTH TOWERS","232 Commonwealth Avenue  #13-21",1,84,"Strata",1668000,"-",19857,1845,"14-AUG-2020","Condominium","99 Yrs From 07/05/2013","2017","Resale","HDB","03","14","149740","Central Region","Queenstown","Singapore","Singapore"
"1524","CARIBBEAN AT KEPPEL BAY","30 Keppel Bay Drive  #09-44",1,118,"Strata",1880000,"-",15932,1480,"14-AUG-2020","Condominium","99 Yrs From 16/08/1999","2004","Resale","Private","04","09","098650","Central Region","Bukit Merah","Singapore","Singapore"
"1525","SKY VUE","1 Bishan Street 15  #14-06",1,77,"Strata",1350000,"-",17532,1629,"14-AUG-2020","Condominium","99 Yrs From 04/03/2013","2016","Resale","HDB","20","57","573910","Central Region","Bishan","Singapore","Singapore"
"1526","NV RESIDENCES","83 Pasir Ris Grove  #06-01",1,84,"Strata",805000,"-",9583,890,"14-AUG-2020","Condominium","99 Yrs From 07/01/2008","2013","Resale","HDB","18","51","518211","East Region","Pasir Ris","Singapore","Singapore"
"1527","PIERMONT GRAND","42 Sumang Walk  #07-43",1,92,"Strata",1050570,"-",11419,1061,"14-AUG-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","N.A","19","82","828626","North East Region","Punggol","Singapore","Singapore"
"1528","REFLECTIONS AT KEPPEL BAY","1 Keppel Bay View  #01-07",1,153,"Strata",2449370,"-",16009,1487,"14-AUG-2020","Condominium","99 Yrs From 15/03/2006","2011","Resale","HDB","04","09","098402","Central Region","Bukit Merah","Singapore","Singapore"
"1529","SIGNATURE PARK","52 Toh Tuck Road  #07-02",1,132,"Strata",1930000,"-",14621,1358,"14-AUG-2020","Condominium","Freehold","1998","Resale","HDB","21","59","596743","Central Region","Bukit Timah","Singapore","Singapore"
"1530","TREASURE AT TAMPINES","45 Tampines Lane  #06-150",1,85,"Strata",1263000,"-",14859,1380,"14-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528463","East Region","Tampines","Singapore","Singapore"
"1531","TREASURE AT TAMPINES","25 Tampines Lane  #09-87",1,61,"Strata",954000,"-",15639,1453,"14-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528473","East Region","Tampines","Singapore","Singapore"
"1532","TREASURE AT TAMPINES","53 Tampines Lane  #12-186",1,96,"Strata",1391000,"-",14490,1346,"14-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528459","East Region","Tampines","Singapore","Singapore"
"1533","THE FLORAVALE","236 Westwood Avenue  #13-40",1,120,"Strata",863000,"-",7192,668,"14-AUG-2020","Executive Condominium","99 Yrs From 16/12/1997","2000","Resale","Private","22","64","648362","West Region","Jurong West","Singapore","Singapore"
"1534","RIVERPARC RESIDENCE","102 Punggol Drive  #02-28",1,100,"Strata",9e+05,"-",9000,836,"14-AUG-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","HDB","19","82","828800","North East Region","Punggol","Singapore","Singapore"
"1535","RIVERPARC RESIDENCE","96 Punggol Drive  #05-13",1,100,"Strata",935000,"-",9350,869,"14-AUG-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","HDB","19","82","828797","North East Region","Punggol","Singapore","Singapore"
"1536","TWIN WATERFALLS","108 Punggol Walk  #15-20",1,104,"Strata",1080000,"-",10385,965,"14-AUG-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","HDB","19","82","828764","North East Region","Punggol","Singapore","Singapore"
"1537","SELETAR SPRINGS CONDOMINIUM","100 Gerald Drive  #04-90",1,192,"Strata",1450000,"-",7552,702,"14-AUG-2020","Condominium","99 Yrs From 12/08/1997","2000","Resale","Private","28","79","798592","North East Region","Hougang","Singapore","Singapore"
"1538","HAZEL PARK CONDOMINIUM","21 Hazel Park Terrace  #04-03",1,141,"Strata",1770000,"-",12553,1166,"14-AUG-2020","Condominium","999 Yrs From 25/09/1882","2000","Resale","Private","23","67","678946","West Region","Bukit Panjang","Singapore","Singapore"
"1539","LILYDALE","558 Yishun Avenue 6  #08-19",1,112,"Strata",786000,"-",7018,652,"14-AUG-2020","Executive Condominium","99 Yrs From 12/09/2000","2003","Resale","HDB","27","76","768965","North Region","Yishun","Singapore","Singapore"
"1540","CLEMENTIWOODS CONDOMINIUM","90 West Coast Road  #01-43",1,169,"Strata",1880000,"-",11124,1033,"14-AUG-2020","Condominium","99 Yrs From 07/02/2006","2010","Resale","Private","05","12","126810","West Region","Clementi","Singapore","Singapore"
"1541","TWIN WATERFALLS","110 Punggol Walk  #10-24",1,93,"Strata",955000,"-",10269,954,"14-AUG-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","Private","19","82","828765","North East Region","Punggol","Singapore","Singapore"
